date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:19:45	40316/40316	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Feb%202020%2013:19:53%20GMT	http://ibrahimduniya.xyz/	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/index.html	(from )
19:19:45	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2026%20Feb%202020%2013:19:54%20GMT	http://ibrahimduniya.xyz/xmlrpc.php	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/xmlrpc.php	(from http://ibrahimduniya.xyz/)
19:19:46	2966/2966	---M--	200	added ('OK')	image/gif	date:Sun,%2002%20Dec%202018%2002:39:02%20GMT	http://ibrahimduniya.xyz/wp-content/uploads/2018/12/icon-300x300.gif	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/uploads/2018/12/icon-300x300.gif	(from http://ibrahimduniya.xyz/)
19:19:48	4100/4100	---MC-	200	added ('OK')	application/rss+xml	etag:%22e2fef0e4df8d0e28d64187ef3805a1ab%22	http://ibrahimduniya.xyz/feed	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/feed	(from http://ibrahimduniya.xyz/)
19:19:49	746/746	---MC-	200	added ('OK')	application/rss+xml	etag:%225302f5471cd1e9ea83860ac9c5c15d46%22	http://ibrahimduniya.xyz/comments/feed	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/comments/feed	(from http://ibrahimduniya.xyz/)
19:19:49	2608/2608	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:13:51%20GMT	http://ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/crp-main-front.css?ver=5.3.2	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/crp-main-front9dff.css	(from http://ibrahimduniya.xyz/)
19:19:49	183/183	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:13:51%20GMT	http://ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/crp-tc-buttons.css?ver=5.3.2	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/crp-tc-buttons9dff.css	(from http://ibrahimduniya.xyz/)
19:19:49	312/312	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:13:51%20GMT	http://ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/crp-tiled-layer.css?ver=5.3.2	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/crp-tiled-layer9dff.css	(from http://ibrahimduniya.xyz/)
19:19:50	23706/23706	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:13:51%20GMT	http://ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/fontawesome/font-awesome.css?ver=5.3.2	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/fontawesome/font-awesome9dff.css	(from http://ibrahimduniya.xyz/)
19:19:50	16685/16685	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:13:51%20GMT	http://ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/lightgallery/lightgallery.css?ver=5.3.2	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/lightgallery/lightgallery9dff.css	(from http://ibrahimduniya.xyz/)
19:19:50	1125/1125	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:13:51%20GMT	http://ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/crp-captions.css?ver=5.3.2	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/crp-captions9dff.css	(from http://ibrahimduniya.xyz/)
19:19:50	3184/3184	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:13:51%20GMT	http://ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/owl-carousel/assets/owl.carousel.css?ver=5.3.2	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/owl-carousel/assets/owl.carousel9dff.css	(from http://ibrahimduniya.xyz/)
19:19:51	3774/3774	---MCZ	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2008:13:51%20GMT	http://ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/owl-carousel/layout.css?ver=5.3.2	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/plugins/portfolio-wp/css/owl-carousel/layout9dff.css	(from http://ibrahimduniya.xyz/)
19:19:51	183/183	---MCZ	200	added ('OK')	text/css	date:Sat,%2018%20Jan%202020%2007:49:32%20GMT	http://ibrahimduniya.xyz/wp-content/plugins/yoo-slider/css/gks-tc-buttons.css?ver=5.3.2	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/plugins/yoo-slider/css/gks-tc-buttons9dff.css	(from http://ibrahimduniya.xyz/)
19:19:51	23706/23706	---MCZ	200	added ('OK')	text/css	date:Sat,%2018%20Jan%202020%2007:49:32%20GMT	http://ibrahimduniya.xyz/wp-content/plugins/yoo-slider/css/fontawesome/font-awesome.css?ver=5.3.2	C:/Users/Dot%20Com%20cOMPUTE/Desktop/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/Md%20Farhan%20Al%20Masud-%20Web%20Designer%20&%20Developer/ibrahimduniya.xyz/wp-content/plugins/yoo-slider/css/fontawesome/font-awesome9dff.css	(from http://ibrahimduniya.xyz/)
